state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,day,month_name,hour,area_type
Himachal Pradesh,Unknown,2020,April,Thursday,22:25,Minor,5,Pedestrian,1,3,Hazy,National Highway,Dry,Dusk,Signals,35,49,Female,Unknown,No,Straight Road,Thursday,,,Rural
Uttar Pradesh,Kanpur,2018,August,Tuesday,16:49,Fatal,3,Bus,1,4,Clear,National Highway,Wet,Dusk,Unknown,46,41,Male,Valid,No,Curve,Tuesday,,,Rural
Assam,Unknown,2021,September,Saturday,23:22,Serious,1,Cycle,2,3,Hazy,Village Road,Under Construction,Daylight,Signs,46,55,Female,Unknown,No,Straight Road,Saturday,,,Unknown
Bihar,Unknown,2020,June,Wednesday,06:47,Serious,5,Car,0,0,Foggy,State Highway,Wet,Dusk,Signals,98,44,Female,Valid,No,Bridge,Wednesday,,,Unknown
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,Friday,,,Rural
Arunachal Pradesh,Unknown,2018,August,Friday,12:06,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,Unknown,No,Curve,Friday,,,Unknown
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,Sunday,,,Unknown
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,Thursday,,,Unknown
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,Wednesday,,,Rural
Chhattisgarh,Unknown,2022,April,Saturday,06:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,Saturday,,,Unknown
Madhya Pradesh,Unknown,2018,June,Tuesday,08:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,Tuesday,,,Unknown
Puducherry,Unknown,2022,February,Wednesday,01:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,Wednesday,,,Unknown
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,Friday,,,Rural
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,Unknown,106,48,Male,Unknown,No,Intersection,Tuesday,,,Rural
Jammu And Kashmir,Unknown,2022,February,Monday,03:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,Unknown,No,Straight Road,Monday,,,Unknown
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,Unknown,Yes,Intersection,Tuesday,,,Rural
Madhya Pradesh,Unknown,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,Unknown,No,Straight Road,Wednesday,,,Unknown
Madhya Pradesh,Unknown,2023,August,Wednesday,00:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,Unknown,90,64,Female,Expired,No,Bridge,Wednesday,,,Rural
Chandigarh,Unknown,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,Friday,,,Unknown
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,Unknown,33,24,Female,Valid,Yes,Straight Road,Sunday,,,Rural
Gujarat,Surat,2019,March,Thursday,15:01,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,Thursday,,,Unknown
Uttar Pradesh,Lucknow,2022,November,Tuesday,09:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,Tuesday,,,Rural
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,Saturday,,,Unknown
Odisha,Unknown,2018,July,Thursday,12:01,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,Thursday,,,Unknown
Telangana,Unknown,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,Unknown,30,40,Male,Unknown,Yes,Bridge,Saturday,,,Rural
West Bengal,Durgapur,2023,February,Sunday,11:02,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,Unknown,106,25,Female,Expired,Yes,Straight Road,Sunday,,,Unknown
Kerala,Unknown,2019,January,Tuesday,16:03,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,Unknown,102,32,Female,Expired,No,Bridge,Tuesday,,,Unknown
Assam,Unknown,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,Unknown,48,69,Female,Expired,No,Curve,Thursday,,,Rural
Nagaland,Unknown,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,Saturday,,,Unknown
Meghalaya,Unknown,2022,February,Monday,06:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,Monday,,,Unknown
Chhattisgarh,Unknown,2022,February,Wednesday,17:08,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,Unknown,88,53,Female,Expired,No,Bridge,Wednesday,,,Rural
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,Tuesday,,,Unknown
West Bengal,Kolkata,2020,April,Friday,07:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,Unknown,58,47,Female,Valid,No,Bridge,Friday,,,Unknown
West Bengal,Kolkata,2018,December,Sunday,07:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,Sunday,,,Unknown
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,Sunday,,,Rural
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,Unknown,Yes,Intersection,Wednesday,,,Unknown
West Bengal,Durgapur,2021,November,Friday,09:04,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,Unknown,No,Intersection,Friday,,,Unknown
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,Tuesday,,,Unknown
Himachal Pradesh,Unknown,2019,October,Wednesday,05:00,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,Unknown,Yes,Intersection,Wednesday,,,Unknown
Gujarat,Ahmedabad,2023,May,Sunday,04:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,Unknown,41,49,Female,Valid,No,Curve,Sunday,,,Rural
Gujarat,Ahmedabad,2019,December,Wednesday,00:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,Unknown,61,51,Female,Unknown,No,Intersection,Wednesday,,,Unknown
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,Unknown,109,30,Male,Valid,No,Bridge,Thursday,,,Rural
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,Unknown,30,57,Male,Expired,No,Curve,Tuesday,,,Rural
Uttarakhand,Unknown,2022,May,Sunday,09:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,Unknown,Yes,Straight Road,Sunday,,,Unknown
Chhattisgarh,Unknown,2021,April,Saturday,05:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,Saturday,,,Unknown
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,Thursday,,,Unknown
Uttarakhand,Unknown,2022,February,Sunday,00:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,Unknown,No,Intersection,Sunday,,,Rural
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,Unknown,Yes,Bridge,Friday,,,Unknown
West Bengal,Siliguri,2022,November,Tuesday,00:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,Unknown,No,Bridge,Tuesday,,,Unknown
Chhattisgarh,Unknown,2018,April,Monday,07:09,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,Unknown,70,62,Female,Valid,Yes,Bridge,Monday,,,Unknown
Haryana,Unknown,2021,August,Sunday,08:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,Unknown,No,Intersection,Sunday,,,Unknown
Andhra Pradesh,Vijayawada,2022,January,Monday,07:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,Unknown,95,51,Female,Expired,No,Bridge,Monday,,,Rural
Assam,Unknown,2023,June,Saturday,06:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,Saturday,,,Unknown
Himachal Pradesh,Unknown,2018,October,Saturday,10:06,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,Unknown,85,55,Male,Valid,No,Intersection,Saturday,,,Unknown
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,Thursday,,,Unknown
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,Saturday,,,Rural
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,Unknown,61,35,Male,Expired,No,Straight Road,Thursday,,,Unknown
Goa,Unknown,2018,February,Saturday,15:01,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,Unknown,35,23,Female,Unknown,Yes,Curve,Saturday,,,Unknown
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,Wednesday,,,Unknown
Assam,Unknown,2023,April,Sunday,05:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,Sunday,,,Unknown
Odisha,Unknown,2018,May,Wednesday,00:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,Unknown,30,41,Female,Unknown,No,Intersection,Wednesday,,,Unknown
Mizoram,Unknown,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,Unknown,97,68,Male,Unknown,Yes,Intersection,Friday,,,Unknown
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,Wednesday,,,Unknown
Meghalaya,Unknown,2018,April,Tuesday,02:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,Tuesday,,,Unknown
Karnataka,Mysore,2019,October,Monday,05:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,Unknown,44,42,Female,Unknown,Yes,Bridge,Monday,,,Unknown
Uttarakhand,Unknown,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,Saturday,,,Unknown
Delhi,Dwarka,2018,January,Tuesday,04:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,Unknown,77,63,Female,Unknown,Yes,Intersection,Tuesday,,,Unknown
Jharkhand,Unknown,2022,April,Thursday,00:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,Unknown,Yes,Straight Road,Thursday,,,Unknown
Assam,Unknown,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,Unknown,No,Straight Road,Saturday,,,Unknown
Jammu And Kashmir,Unknown,2023,February,Saturday,09:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,Unknown,No,Bridge,Saturday,,,Rural
Punjab,Unknown,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,Unknown,No,Curve,Tuesday,,,Rural
Jammu And Kashmir,Unknown,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,Friday,,,Unknown
Gujarat,Vadodara,2018,August,Thursday,09:03,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,Thursday,,,Rural
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,Unknown,Yes,Bridge,Monday,,,Unknown
Manipur,Unknown,2020,May,Sunday,08:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,Sunday,,,Unknown
Maharashtra,Nagpur,2023,May,Wednesday,12:02,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,Wednesday,,,Unknown
Chandigarh,Unknown,2020,October,Wednesday,17:06,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,Unknown,43,60,Male,Expired,Yes,Curve,Wednesday,,,Unknown
Madhya Pradesh,Unknown,2022,July,Sunday,02:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,Sunday,,,Unknown
Bihar,Unknown,2023,March,Monday,03:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,Monday,,,Unknown
Tripura,Unknown,2022,February,Saturday,02:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,Saturday,,,Unknown
Madhya Pradesh,Unknown,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,Tuesday,,,Unknown
Jharkhand,Unknown,2021,November,Tuesday,23:18,Minor,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,Unknown,95,36,Male,Expired,Yes,Intersection,Tuesday,,,Unknown
Assam,Unknown,2022,May,Saturday,12:31,Minor,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,Unknown,82,27,Female,Unknown,Yes,Bridge,Saturday,,,Unknown
Punjab,Unknown,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,Sunday,,,Unknown
Nagaland,Unknown,2018,July,Friday,09:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,Friday,,,Unknown
Uttar Pradesh,Lucknow,2020,April,Saturday,01:29,Minor,4,Car,5,3,Clear,National Highway,Damaged,Daylight,Unknown,36,34,Female,Expired,No,Curve,Saturday,,,Rural
Gujarat,Ahmedabad,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,Sunday,,,Unknown
Tripura,Unknown,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,Monday,,,Rural
Assam,Unknown,2020,February,Saturday,12:07,Minor,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,Unknown,73,61,Female,Unknown,Yes,Curve,Saturday,,,Unknown
Karnataka,Mysore,2020,December,Tuesday,12:46,Fatal,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,Unknown,60,58,Male,Expired,Yes,Straight Road,Tuesday,,,Unknown
Telangana,Unknown,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,Sunday,,,Unknown
Tripura,Unknown,2020,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,Unknown,No,Intersection,Sunday,,,Unknown
Andhra Pradesh,Tirupati,2019,August,Saturday,06:11,Serious,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,Unknown,98,44,Male,Unknown,No,Intersection,Saturday,,,Unknown
Kerala,Unknown,2022,April,Monday,05:20,Minor,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,Unknown,86,30,Male,Expired,Yes,Curve,Monday,,,Unknown
Jammu And Kashmir,Unknown,2019,March,Sunday,07:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,Sunday,,,Rural
Goa,Unknown,2020,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,Sunday,,,Unknown
Gujarat,Vadodara,2023,August,Wednesday,10:13,Serious,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,Wednesday,,,Unknown
Uttarakhand,Unknown,2021,May,Thursday,05:29,Fatal,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,Thursday,,,Unknown
Meghalaya,Unknown,2019,September,Friday,20:43,Fatal,5,Bus,2,4,Hazy,National Highway,Dry,Dusk,Unknown,103,64,Male,Expired,No,Straight Road,Friday,,,Rural
Manipur,Unknown,2022,August,Saturday,11:22,Minor,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,Saturday,,,Unknown
Chhattisgarh,Unknown,2020,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,Friday,,,Unknown
Karnataka,Mysore,2022,December,Tuesday,22:37,Serious,4,Auto-Rickshaw,9,4,Stormy,Urban Road,Wet,Dusk,Unknown,92,20,Female,Unknown,No,Intersection,Tuesday,,,Unknown
Manipur,Unknown,2021,June,Wednesday,03:40,Fatal,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,Wednesday,,,Unknown
Jharkhand,Unknown,2019,October,Wednesday,08:16,Minor,1,Auto-Rickshaw,10,5,Hazy,National Highway,Under Construction,Dusk,Signs,50,61,Female,Unknown,No,Curve,Wednesday,,,Rural
Mizoram,Unknown,2021,May,Monday,03:50,Serious,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,Monday,,,Unknown
Chandigarh,Unknown,2018,October,Tuesday,18:24,Fatal,5,Two-Wheeler,5,0,Stormy,State Highway,Damaged,Dusk,Unknown,120,22,Male,Expired,No,Intersection,Tuesday,,,Unknown
Punjab,Unknown,2023,May,Friday,02:20,Minor,3,Truck,0,0,Clear,National Highway,Dry,Dusk,Signs,66,50,Male,Unknown,Yes,Intersection,Friday,,,Rural
Tripura,Unknown,2023,February,Wednesday,13:20,Serious,4,Auto-Rickshaw,0,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,24,Male,Unknown,No,Straight Road,Wednesday,,,Unknown
Telangana,Unknown,2020,June,Monday,03:19,Minor,5,Two-Wheeler,10,1,Stormy,Urban Road,Damaged,Dusk,Unknown,73,50,Male,Unknown,Yes,Curve,Monday,,,Unknown
Karnataka,Mangalore,2022,June,Sunday,17:25,Fatal,3,Bus,8,4,Rainy,National Highway,Wet,Daylight,Unknown,86,37,Male,Unknown,No,Curve,Sunday,,,Rural
Madhya Pradesh,Unknown,2023,July,Monday,21:40,Fatal,4,Cycle,3,1,Rainy,State Highway,Wet,Dusk,Unknown,81,45,Female,Expired,No,Intersection,Monday,,,Unknown
Chandigarh,Unknown,2020,May,Sunday,17:09,Minor,2,Bus,10,0,Rainy,National Highway,Under Construction,Dark,Unknown,61,47,Female,Valid,No,Bridge,Sunday,,,Rural
Tamil Nadu,Chennai,2019,May,Friday,22:03,Minor,3,Bus,10,4,Hazy,National Highway,Wet,Daylight,Unknown,35,31,Female,Valid,No,Intersection,Friday,,,Rural
Delhi,Rohini,2019,April,Monday,16:44,Fatal,5,Bus,7,3,Stormy,State Highway,Under Construction,Daylight,Unknown,77,63,Male,Expired,No,Intersection,Monday,,,Unknown
Chhattisgarh,Unknown,2018,October,Wednesday,10:18,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,Wednesday,,,Unknown
Puducherry,Unknown,2022,February,Wednesday,04:31,Serious,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,Wednesday,,,Unknown
West Bengal,Kolkata,2018,June,Saturday,20:12,Serious,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,Saturday,,,Unknown
Tamil Nadu,Chennai,2023,November,Thursday,21:27,Serious,5,Two-Wheeler,10,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,32,Male,Unknown,Yes,Intersection,Thursday,,,Unknown
Punjab,Unknown,2019,May,Tuesday,22:18,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,Tuesday,,,Unknown
Karnataka,Bangalore,2020,May,Thursday,06:49,Serious,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,Thursday,,,Unknown
Nagaland,Unknown,2020,November,Sunday,20:49,Serious,3,Cycle,0,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,54,Female,Expired,Yes,Intersection,Sunday,,,Rural
Maharashtra,Nagpur,2019,July,Monday,20:04,Fatal,3,Pedestrian,2,2,Clear,National Highway,Wet,Dark,Signals,35,55,Male,Valid,Yes,Bridge,Monday,,,Rural
Meghalaya,Unknown,2022,October,Thursday,04:47,Fatal,5,Bus,10,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,95,18,Female,Unknown,Yes,Curve,Thursday,,,Unknown
Karnataka,Mangalore,2023,June,Sunday,23:33,Serious,3,Two-Wheeler,5,3,Rainy,National Highway,Wet,Dark,Signals,31,42,Female,Valid,No,Straight Road,Sunday,,,Rural
Haryana,Unknown,2023,August,Sunday,06:01,Minor,1,Cycle,9,0,Foggy,Urban Road,Dry,Dusk,Signs,70,50,Female,Unknown,No,Curve,Sunday,,,Unknown
Tamil Nadu,Madurai,2018,January,Friday,22:19,Minor,1,Truck,9,1,Hazy,State Highway,Damaged,Daylight,Signals,55,67,Male,Unknown,No,Straight Road,Friday,,,Unknown
Sikkim,Unknown,2022,September,Thursday,22:07,Serious,2,Car,0,5,Foggy,State Highway,Wet,Dark,Unknown,107,45,Female,Valid,No,Bridge,Thursday,,,Unknown
Bihar,Unknown,2021,June,Tuesday,06:44,Fatal,5,Car,10,4,Stormy,State Highway,Under Construction,Dark,Unknown,44,34,Male,Valid,No,Curve,Tuesday,,,Unknown
Odisha,Unknown,2019,September,Friday,08:19,Serious,2,Two-Wheeler,4,4,Stormy,Village Road,Damaged,Dark,Signals,68,43,Male,Expired,Yes,Curve,Friday,,,Unknown
